"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.187948359594419,0.0401763239826101,4.67808751432239,2.89562966426936e-06,"m0","Q0",12105,"***"
"Q1 m0",-0.200353570404433,0.0422170572193213,4.74579668979719,2.07687242748657e-06,"m0","Q1",12105,"***"
"Q2 m0",-0.217614341554948,0.0447322725008057,4.86481748833639,1.14562472946693e-06,"m0","Q2",12105,"***"
"Q3 m0",-0.299858855087476,0.037318840401972,8.03505285420475,9.3538572826326e-16,"m0","Q3",12105,"***"
"Q4 m0",-0.423144310036069,0.0346051967736503,12.2277677773029,2.20926559218671e-34,"m0","Q4",12105,"***"
"Q5 m0",-0.370292013344507,0.0384099588228503,9.64052096625052,5.39136588306077e-22,"m0","Q5",12105,"***"
"mQ0 m0",-0.253461914004078,0.0638140674838494,3.97188149882823,7.13071914183073e-05,"m0","mQ0",12105,"***"
"mQ1 m0",-0.427323202900331,0.0522391281809472,8.18013657157828,2.83522348346392e-16,"m0","mQ1",12105,"***"
"mQ2 m0",-0.310404432460938,0.112513996148278,2.75880728697848,0.00580127348192713,"m0","mQ2",12105,"**"
"mQ3 m0",-0.39665776693926,0.0976522943410162,4.0619400661911,4.86665730923376e-05,"m0","mQ3",12105,"***"
"mQ4 m0",-0.53338208543908,0.0588390853032302,9.06509818584481,1.24492079138066e-19,"m0","mQ4",12105,"***"
"mQ5 m0",-0.505302865948048,0.0415129229271211,12.172182306583,4.3723404806223e-34,"m0","mQ5",12105,"***"
"camera m0",-0.080331964448022,0.0900074682393509,0.892503322439873,0.372123212733041,"m0","camera",12105," "
"camera_D m0",0.1595388494656,0.133772570260454,1.19261257487226,0.233021138742689,"m0","camera_D",12105," "
"t m0",-0.0669440831057054,0.0142599972479521,4.6945368881694,2.67211390900252e-06,"m0","t",12105,"***"
"log_fuel m0",2.09518381780133,0.218145711429102,9.60451527593874,7.6517104815431e-22,"m0","log_fuel",12105,"***"
"log_cameras m0",0.00231227904540621,0.0603623859237336,0.0383066210856495,0.969443211799604,"m0","log_cameras",12105," "
"Q0 m1",-0.141750535542981,0.032994334152529,4.29620840013577,1.73744254863449e-05,"m1","Q0",90009,"***"
"Q1 m1",-0.201659574418756,0.0326537028709197,6.17570311140263,6.5869663995317e-10,"m1","Q1",90009,"***"
"Q2 m1",-0.16508942625205,0.0357524448865511,4.6175702606048,3.88259244418164e-06,"m1","Q2",90009,"***"
"Q3 m1",-0.160153338782704,0.0333949445684345,4.79573602688604,1.6207860229857e-06,"m1","Q3",90009,"***"
"Q4 m1",-0.265670981893221,0.0342566918607877,7.75530173704031,8.81336694618956e-15,"m1","Q4",90009,"***"
"Q5 m1",-0.206143175686811,0.0353209381544724,5.83628823179231,5.33765276310141e-09,"m1","Q5",90009,"***"
"mQ0 m1",-0.20048644209071,0.0713693138343397,2.80914067012152,0.00496739365826988,"m1","mQ0",90009,"**"
"mQ1 m1",-0.379403865669993,0.0574734804204489,6.60137271824246,4.07367935040504e-11,"m1","mQ1",90009,"***"
"mQ2 m1",-0.317455124267417,0.118149294467954,2.68689817994235,0.00721189331905685,"m1","mQ2",90009,"**"
"mQ3 m1",-0.362981970099595,0.108910995086141,3.33283127027259,0.00085967060553896,"m1","mQ3",90009,"***"
"mQ4 m1",-0.419848598477449,0.0780488725840198,5.37930382050658,7.47744266849342e-08,"m1","mQ4",90009,"***"
"mQ5 m1",-0.378649396023319,0.0533055468849782,7.1033770057807,1.21744697977173e-12,"m1","mQ5",90009,"***"
"camera m1",-0.0656827994761375,0.0526184140364703,1.24828542780883,0.211926548771285,"m1","camera",90009," "
"camera_D m1",0.149063430361528,0.103098668925058,1.44583273397916,0.148224122427313,"m1","camera_D",90009," "
"Q0 m2",-0.198120816938566,0.0362043746022459,5.47228944333915,4.44258448851674e-08,"m2","Q0",37305,"***"
"Q1 m2",-0.253936015863093,0.0370477289637224,6.85429371694419,7.16657017422046e-12,"m2","Q1",37305,"***"
"Q2 m2",-0.220919453569336,0.0409664404149907,5.39269341762229,6.94093217674991e-08,"m2","Q2",37305,"***"
"Q3 m2",-0.226503816151301,0.0399795621485023,5.66549016494884,1.46604834112054e-08,"m2","Q3",37305,"***"
"Q4 m2",-0.323023454177335,0.0382355433665254,8.44825065203957,2.95699999972338e-17,"m2","Q4",37305,"***"
"Q5 m2",-0.275734189638643,0.0413449544386995,6.66911339925318,2.57353350872094e-11,"m2","Q5",37305,"***"
"mQ0 m2",-0.222059544541192,0.0716902356087511,3.09748660547136,0.00195169216048455,"m2","mQ0",37305,"**"
"mQ1 m2",-0.426333778389747,0.0559793091381808,7.61591711211322,2.6182567467138e-14,"m2","mQ1",37305,"***"
"mQ2 m2",-0.360120152179419,0.111859521943634,3.21939648875741,0.00128460729954085,"m2","mQ2",37305,"**"
"mQ3 m2",-0.407180641137841,0.102022027693002,3.99110515979061,6.57661087911249e-05,"m2","mQ3",37305,"***"
"mQ4 m2",-0.46890081305109,0.0741380282324399,6.32470034920509,2.53724459239443e-10,"m2","mQ4",37305,"***"
"mQ5 m2",-0.420918340410684,0.0540308692517479,7.79033071723286,6.68340277941454e-15,"m2","mQ5",37305,"***"
"camera m2",-0.061121118277266,0.0699400093499355,0.873907779615164,0.382168477685722,"m2","camera",37305," "
"camera_D m2",0.143918026483345,0.114860008275261,1.25298638442065,0.210210661846295,"m2","camera_D",37305," "
"Q0 m3",-0.16678778609731,0.0403719177337034,4.13128222437826,3.60745352282817e-05,"m3","Q0",26649,"***"
"Q1 m3",-0.232183600506173,0.0405744940226888,5.72240285673899,1.05027899844207e-08,"m3","Q1",26649,"***"
"Q2 m3",-0.199107648291981,0.0455589165183499,4.37033326312283,1.24057052792384e-05,"m3","Q2",26649,"***"
"Q3 m3",-0.194607852311269,0.0464075459701403,4.19345277245395,2.74740296910946e-05,"m3","Q3",26649,"***"
"Q4 m3",-0.286849615194326,0.0444715261291677,6.4501859990406,1.11712961603789e-10,"m3","Q4",26649,"***"
"Q5 m3",-0.238358802027224,0.0484925005039488,4.91537453317785,8.86128868512699e-07,"m3","Q5",26649,"***"
"mQ0 m3",-0.189038566742875,0.0768762953518345,2.45899683221876,0.0139325847151244,"m3","mQ0",26649,"*"
"mQ1 m3",-0.408047270227835,0.0596430173042391,6.84149274585464,7.83721740976345e-12,"m3","mQ1",26649,"***"
"mQ2 m3",-0.336622327002975,0.117043650257425,2.87604091518515,0.00402697509187542,"m3","mQ2",26649,"**"
"mQ3 m3",-0.38926590968504,0.106281968224031,3.66257716327297,0.00024969050443785,"m3","mQ3",26649,"***"
"mQ4 m3",-0.446216199710987,0.0793784290034147,5.62137856988567,1.89439632497175e-08,"m3","mQ4",26649,"***"
"mQ5 m3",-0.389185603383805,0.060247174349442,6.459815046702,1.04831025385877e-10,"m3","mQ5",26649,"***"
"camera m3",-0.0514273787901459,0.071974012883335,0.714527045664471,0.474901338417472,"m3","camera",26649," "
"camera_D m3",0.13634179865456,0.116909012937176,1.16622145058933,0.243524921988644,"m3","camera_D",26649," "
"Q0 m0c",-0.185050195546309,0.0407145197091394,-4.54506640059345,5.54500065557351e-06,"m0c","Q0",12105,"***"
"Q1 m0c",-0.202579114475536,0.0423888635307375,-4.77906453728441,1.78183137824075e-06,"m0c","Q1",12105,"***"
"Q2 m0c",-0.23003816107788,0.0449637627409111,-5.11607897238047,3.16728503652253e-07,"m0c","Q2",12105,"***"
"Q3 m0c",-0.302421423273936,0.0369864537184895,-8.17654554220633,3.21116017763727e-16,"m0c","Q3",12105,"***"
"Q4 m0c",-0.426202237439049,0.0357576737814944,-11.9191824402073,1.43026000787461e-32,"m0c","Q4",12105,"***"
"Q5 m0c",-0.368655945974752,0.0392608611956668,-9.3899098172467,7.07113982848674e-21,"m0c","Q5",12105,"***"
"mQ0 m0c",-0.257538861352055,0.0636592710939583,-4.04558294379367,5.25171381315631e-05,"m0c","mQ0",12105,"***"
"mQ1 m0c",-0.438797401936854,0.0501608499247928,-8.74780635883865,2.46154408883244e-18,"m0c","mQ1",12105,"***"
"mQ2 m0c",-0.306534405982482,0.105450896482852,-2.90689236608178,0.00365701168263834,"m0c","mQ2",12105,"**"
"mQ3 m0c",-0.404669075080969,0.093582926268842,-4.32417633445709,1.54328136864245e-05,"m0c","mQ3",12105,"***"
"mQ4 m0c",-0.538882531870089,0.0578764782030821,-9.31090744635861,1.48445673239557e-20,"m0c","mQ4",12105,"***"
"mQ5 m0c",-0.50964695405193,0.0407401975097758,-12.5096829471589,1.09824658016947e-35,"m0c","mQ5",12105,"***"
"camera m0c",-0.0997765721840406,0.086420962001723,1.1545413273929,0.248278305382371,"m0c","camera",12105," "
"camera_D m0c",0.170767680827991,0.141818771028699,1.20412607999145,0.228540851154875,"m0c","camera_D",12105," "
"t m0c",-0.0671752752592357,0.0145045077716129,4.63133781007762,3.63310540383078e-06,"m0c","t",12105,"***"
"log_fuel m0c",2.14973218132702,0.235446017769132,9.13046736443407,6.82042087472779e-20,"m0c","log_fuel",12105,"***"
"log_cameras m0c",0.0117181026263005,0.0624363725377507,0.187680708375801,0.85112695401197,"m0c","log_cameras",12105," "
